t,value
0,10.74507122951685
1,12.229076699058808
2,14.640098962675445
3,15.659323053987157
4,11.990592910628013
5,11.501055012778027
6,15.070250750414939
7,15.735859902965734
8,15.612853720355716
9,17.53389494672103
10,14.813357632402587
11,12.810543316635075
12,12.40959129258781
13,9.088659128685752
14,10.39345520084925
15,13.12200793095013
16,12.246676790558064
17,12.593956846709553
18,8.518086657732006
19,6.254270868197608
20,10.637243929207198
21,9.46753165555258
22,11.411972908939306
23,9.644611134984942
24,10.112487420105177
25,9.72793454371398
26,7.247468855950411
27,10.526902655752899
28,11.315377345393005
29,14.091484853442601
30,14.792369888061964
31,18.171307970684992
32,14.387190886839841
33,12.42998874831974
34,16.24268963868008
35,15.239979341534012
36,19.322048766424356
37,16.69264674597589
38,16.652786724219276
39,17.158533249165615
40,16.708634253732832
41,15.943532641203339
42,16.67464830174471
43,17.480499976767177
44,15.570770146218669
45,15.076628843104277
46,13.190576083079996
47,13.887305988225737
48,12.776043187778246
49,10.849311225151304
50,15.33207302576149
51,14.45328813544877
52,12.880805618807544
53,13.1805149696907
54,12.984328594101704
55,13.625228762350444
56,13.071113421209713
57,16.081844006621182
58,18.170249745646792
59,18.856866956352228
60,15.770894654591125
61,15.957238241912759
62,15.754251182512016
63,17.90718817518998
64,23.111620576277364
65,24.819991267778164
66,21.96148333646917
67,22.05089119423586
68,20.056080148877985
69,18.820383480185818
70,21.626631551368508
71,24.54562113455311
72,22.037900327208693
73,22.724031540517952
74,14.008300486355907
75,17.34508133665918
76,15.878100764620292
77,16.13736376020524
78,17.619043884532175
79,14.30430310816574
80,15.403496620031532
81,14.194231122315962
82,14.600596431911237
83,11.95419746676976
84,13.200067575284434
85,15.492077842525054
86,18.411321559301697
87,16.978102149282844
88,14.582528903480696
89,15.764841200419657
90,16.269069135590456
91,19.893584625845087
92,19.684366643833275
93,21.31459908308664
94,20.739662795569384
95,17.897952224273794
96,19.833814216663825
97,20.409450319788952
98,21.68687496568153
99,22.842801877243165
100,21.268718275898273
101,21.234483034662002
102,19.06053251526219
103,16.64624815649725
104,17.290852568050685
105,18.96911525942704
106,22.023402552534506
107,19.14147553192857
108,17.544568269648842
109,14.759958028851376
110,10.471284834220864
111,13.384543337670085
112,14.907780603660377
113,20.05186674056393
114,16.57607759499103
115,16.49428811965403
116,14.638051717486581
117,12.34351977423329
118,16.766027839794912
119,18.364944914055208
120,20.630787837858765
121,19.100034557596103
122,22.078448788855702
123,16.656697727413523
124,18.979827762352365
125,22.071972699300364
126,19.025234735853555
127,21.234958319851195
128,22.47297571069944
129,20.183647415412437
130,16.427427665728565
